index,time,outdoor_temp,occupancy,step_kwh,cumulative_kwh,price,carbon,step_cost,cumulative_cost,step_co2_kg,cumulative_co2_kg,comfort_violations,heating_setpoint,cooling_setpoint,economizer,mean_zone_temp,max_abs_pmv,peak_co2,temp_SPACE1-1,temp_SPACE2-1,temp_SPACE3-1,temp_SPACE4-1,temp_SPACE5-1,pmv_SPACE1-1,pmv_SPACE2-1,pmv_SPACE3-1,pmv_SPACE4-1,pmv_SPACE5-1,co2_SPACE1-1,co2_SPACE2-1,co2_SPACE3-1,co2_SPACE4-1,co2_SPACE5-1,source,latency_s
548,2026-07-25T16:00:00,26.1,0.05,0.10697,283.5935,0.42,493.5,0.04493,77.4099,0.05279,68.748,0,18.0,26.0,0,25.17,0.51,437.5,25.17,25.472,25.355,26.0,23.852,-0.077,0.023,-0.016,0.198,-0.51,437.5,437.5,437.5,437.5,437.5,baseline,
549,2026-07-25T17:15:00,25.975,0.05,0.10636,283.6999,0.42,507.4,0.04467,77.4546,0.05397,68.8019,0,18.0,26.0,0,25.093,0.519,437.5,25.059,25.346,25.234,26.0,23.824,-0.113,-0.019,-0.056,0.198,-0.519,437.5,437.5,437.5,437.5,437.5,baseline,
550,2026-07-25T17:30:00,25.85,0.05,0.10593,283.8058,0.42,510.5,0.04449,77.4991,0.05407,68.856,0,18.0,26.0,0,25.014,0.529,437.5,24.949,25.217,25.111,26.0,23.793,-0.149,-0.061,-0.096,0.198,-0.529,437.5,437.5,437.5,437.5,437.5,baseline,
551,2026-07-25T17:45:00,25.725,0.05,0.10554,283.9113,0.42,513.6,0.04433,77.5434,0.05421,68.9102,0,18.0,26.0,0,24.935,0.541,437.5,24.841,25.087,24.988,26.0,23.758,-0.185,-0.104,-0.137,0.198,-0.541,437.5,437.5,437.5,437.5,437.5,baseline,
552,2026-07-25T17:00:00,25.6,0.05,0.10331,284.0146,0.42,504.4,0.04339,77.5868,0.05211,68.9623,0,18.0,26.0,0,24.853,0.553,437.5,24.73,24.953,24.863,26.0,23.72,-0.222,-0.148,-0.178,0.198,-0.553,437.5,437.5,437.5,437.5,437.5,baseline,
553,2026-07-25T18:15:00,25.3,0.05,0.0,284.0146,0.42,520.1,0.0,77.5868,0.0,68.9623,0,18.0,26.0,0,24.762,0.566,437.5,24.608,24.816,24.734,25.97,23.679,-0.262,-0.193,-0.221,0.189,-0.566,437.5,437.5,437.5,437.5,437.5,baseline,
554,2026-07-25T18:30:00,25.0,0.05,0.0,284.0146,0.42,523.4,0.0,77.5868,0.0,68.9623,0,18.0,26.0,0,24.648,0.581,437.5,24.479,24.674,24.598,25.854,23.635,-0.304,-0.24,-0.265,0.15,-0.581,437.5,437.5,437.5,437.5,437.5,baseline,
555,2026-07-25T18:45:00,24.7,0.05,0.0,284.0146,0.42,526.7,0.0,77.5868,0.0,68.9623,0,18.0,26.0,0,24.51,0.597,437.5,24.342,24.526,24.455,25.639,23.587,-0.349,-0.289,-0.312,0.079,-0.597,437.5,437.5,437.5,437.5,437.5,baseline,
556,2026-07-25T18:00:00,24.4,0.05,0.0,284.0146,0.42,516.8,0.0,77.5868,0.0,68.9623,0,18.0,26.0,0,24.366,0.613,437.5,24.205,24.376,24.308,25.407,23.535,-0.394,-0.338,-0.361,0.002,-0.613,437.5,437.5,437.5,437.5,437.5,baseline,
557,2026-07-25T19:15:00,24.55,0.05,0.0,284.0146,0.16,530.0,0.0,77.5868,0.0,68.9623,0,18.0,26.0,0,24.226,0.631,437.5,24.071,24.223,24.158,25.198,23.48,-0.438,-0.388,-0.41,-0.067,-0.631,437.5,437.5,437.5,437.5,437.5,baseline,
