index,time,outdoor_temp,occupancy,step_kwh,cumulative_kwh,price,carbon,step_cost,cumulative_cost,step_co2_kg,cumulative_co2_kg,comfort_violations,heating_setpoint,cooling_setpoint,economizer,mean_zone_temp,max_abs_pmv,peak_co2,temp_SPACE1-1,temp_SPACE2-1,temp_SPACE3-1,temp_SPACE4-1,temp_SPACE5-1,pmv_SPACE1-1,pmv_SPACE2-1,pmv_SPACE3-1,pmv_SPACE4-1,pmv_SPACE5-1,co2_SPACE1-1,co2_SPACE2-1,co2_SPACE3-1,co2_SPACE4-1,co2_SPACE5-1,source,latency_s
315,2026-07-23T06:45:00,25.825,0.167,0.0,158.4722,0.09,200.1,0.0,44.8578,0.0,40.983,5,18.0,27.3,0,21.822,1.334,478.3,21.865,21.965,22.036,21.851,21.395,-1.172,-1.138,-1.113,-1.177,-1.334,478.3,478.3,478.3,478.3,478.3,held,
316,2026-07-23T06:00:00,26.1,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,26.0,0,21.877,1.333,420.0,21.919,22.037,22.11,21.923,21.398,-1.154,-1.113,-1.088,-1.152,-1.333,420.0,420.0,420.0,420.0,420.0,held,
317,2026-07-23T07:15:00,26.25,0.5,0.0,158.4722,0.16,193.6,0.0,44.8578,0.0,40.983,5,18.0,26.0,0,21.938,1.331,595.0,21.979,22.115,22.187,22.003,21.403,-1.133,-1.086,-1.061,-1.124,-1.331,595.0,595.0,595.0,595.0,595.0,held,
318,2026-07-23T07:30:00,26.4,0.667,0.0,158.4722,0.16,190.5,0.0,44.8578,0.0,40.983,5,18.0,26.0,0,22.004,1.328,653.3,22.042,22.203,22.274,22.09,21.411,-1.111,-1.056,-1.031,-1.094,-1.328,653.3,653.3,653.3,653.3,653.3,llm,19.15
319,2026-07-23T07:45:00,26.55,0.833,0.0,158.4722,0.16,187.4,0.0,44.8578,0.0,40.983,5,18.0,26.0,0,22.076,1.325,711.7,22.109,22.297,22.369,22.184,21.423,-1.088,-1.023,-0.998,-1.062,-1.325,711.7,711.7,711.7,711.7,711.7,held,
320,2026-07-23T07:00:00,26.7,0.333,0.0,158.4722,0.16,196.8,0.0,44.8578,0.0,40.983,5,18.0,26.0,0,22.162,1.32,536.7,22.185,22.412,22.483,22.292,21.437,-1.062,-0.983,-0.959,-1.025,-1.32,536.7,536.7,536.7,536.7,536.7,held,
321,2026-07-23T08:15:00,26.825,1.0,0.0,158.4722,0.16,181.5,0.0,44.8578,0.0,40.983,5,18.0,26.0,0,22.262,1.313,770.0,22.272,22.549,22.618,22.417,21.455,-1.032,-0.936,-0.913,-0.982,-1.313,770.0,770.0,770.0,770.0,770.0,held,
322,2026-07-23T08:33:00,26.95,1.0,0.0,158.4722,0.16,178.2,0.0,44.8578,0.0,40.983,1,18.0,26.0,0,23.589,0.823,770.0,23.563,23.84,23.952,23.698,22.892,-0.604,-0.514,-0.477,-0.56,-0.823,770.0,770.0,770.0,770.0,770.0,llm,16.52
323,2026-07-23T08:48:00,27.075,1.0,0.0,158.4722,0.16,175.6,0.0,44.8578,0.0,40.983,0,18.0,26.0,0,24.668,0.4,770.0,24.572,24.844,25.049,24.688,24.188,-0.274,-0.184,-0.117,-0.236,-0.4,770.0,770.0,770.0,770.0,770.0,held,
324,2026-07-23T08:05:00,27.2,1.0,0.0,158.4722,0.16,183.5,0.0,44.8578,0.0,40.983,0,18.0,26.0,0,25.166,0.247,770.0,25.028,25.373,25.583,25.191,24.652,-0.123,-0.01,0.06,-0.07,-0.247,770.0,770.0,770.0,770.0,770.0,held,
325,2026-07-23T09:23:00,27.625,1.0,0.12486,158.5971,0.16,169.9,0.01998,44.8777,0.02121,41.0042,0,18.0,26.0,0,25.568,0.187,770.0,25.412,25.847,25.966,25.636,24.977,0.003,0.148,0.187,0.078,-0.14,770.0,770.0,770.0,770.0,770.0,held,
326,2026-07-23T09:35:00,28.05,1.0,0.50607,159.1031,0.16,168.1,0.08097,44.9587,0.08507,41.0892,0,18.0,26.0,0,25.906,0.198,770.0,25.928,25.999,26.0,26.0,25.604,0.174,0.198,0.198,0.198,0.067,770.0,770.0,770.0,770.0,770.0,llm,17.08
327,2026-07-23T09:53:00,28.475,1.0,0.80812,159.9113,0.16,165.6,0.1293,45.088,0.13385,41.2231,0,18.0,26.0,0,25.999,0.198,770.0,25.999,26.0,26.0,26.0,25.998,0.198,0.198,0.198,0.198,0.198,770.0,770.0,770.0,770.0,770.0,held,
328,2026-07-23T09:08:00,28.9,1.0,0.8385,160.7498,0.16,172.2,0.13416,45.2222,0.14441,41.3675,0,18.0,26.0,0,26.0,0.198,770.0,26.0,26.0,26.0,26.0,26.0,0.198,0.198,0.198,0.198,0.198,770.0,770.0,770.0,770.0,770.0,held,
